name,slug,url,feed,neighborhood,district,category
Alki News/Alki Community Council,alki-news,http://alkinews.wordpress.com/,http://alkinews.wordpress.com/feed/,Alki,Southwest,news
At Large in Ballard,at-large-in-ballard,http://blog.seattlepi.com/ballard/,http://blog.seattlepi.com/ballard/feed/,Ballard,Ballard,news
Beach Drive Blog,beach-drive-blog,http://www.mortgageporter.com/beach_drive/,http://beachdriveblog.com/feed,Alki,Southwest,news
Beacon Hill Blog,beacon-hill-blog,http://beaconhill.seattle.wa.us/,http://beaconhill.seattle.wa.us/feed/,Beacon Hill,Greater Duwamish,news
Broadview Community Council,broadview-community-council,http://www.broadviewseattle.org/,http://www.broadviewseattle.org/feed/,Broadview,Northwest,community council
Catch Seattle,catch-seattle,http://www.catchseattle.com/,http://www.catchseattle.com/feed/,,,news
CHS Capitol Hill Seattle Blog,chs,http://www.capitolhillseattle.com/,http://www.capitolhillseattle.com/feed/,Capitol Hill,East,news
East Ballard Community Association Blog,east-ballard-community-association,http://eastballard.wordpress.com/,http://eastballard.wordpress.com/feed/,Ballard,Ballard,community association
Fremont Universe,fremont-universe,http://www.fremontuniverse.com/,http://www.fremontuniverse.com/feed/,Fremont,Lake Union,news
Genesee-Schmitz Neighborhood Council,genesee-schmitz-neighborhood-council,http://genesee-schmitz.org/,http://genesee-schmitz.org/feed/,Genesee-Schmitz,Southwest,neighborhood council
Highland Park Improvement Club,highland-park-improvement-club,http://www.hpic1919.org/,http://www.hpic1919.org/feed/,Highland Park,Delridge,neighborhood group
It's My Darlin',its-my-darlin,http://www.itsmydarlin.com/,http://www.itsmydarlin.com/feeds/posts/default,,,fashion
KOMO Communities - South Seattle,komo-south-seattle,http://www.komonews.com/communities/southseattle,http://www.komonews.com/communities/southseattle/index.rss,South Seattle,,news
KOMO Communities - Green Lake,komo-green-lake,http://www.komonews.com/communities/greenlake,http://www.komonews.com/communities/greenlake/index.rss,Green Lake,Northwest,news
KOMO Communities - Greenwood-Phinney,komo-greenwood-phinney,http://www.komonews.com/communities/greenwoodphinney,http://www.komonews.com/communities/greenwoodphinney/index.rss,Greenwood-Phinney,Northwest,news
KOMO Communities - Lake City,komo-lake-city,http://www.komonews.com/communities/lakecity,http://www.komonews.com/communities/lakecity/index.rss,Lake City,North,news
KOMO Communities - Madison Park,komo-madison-park,http://www.komonews.com/communities/madisonpark,http://www.komonews.com/communities/madisonpark/index.rss,Madison Park,East,news
KOMO Communities - Magnolia,komo-magnolia,http://www.komonews.com/communities/magnolia,http://www.komonews.com/communities/magnolia/index.rss,Magnolia,Magnolia/Queen Anne,news
KOMO Communities - North Seattle,komo-north-seattle,http://www.komonews.com/communities/northseattle,http://www.komonews.com/communities/northseattle/index.rss,North Seattle,North,news
KOMO Communities - Queen Anne,komo-queen-anne,http://www.komonews.com/communities/queenanne,http://www.komonews.com/communities/queenanne/index.rss,Queen Anne,Magnolia/Queen Anne,news
KOMO Communities - South Lake Union,komo-south-lake-union,http://www.komonews.com/communities/southlakeunion,http://www.komonews.com/communities/southlakeunion/index.rss,South Lake Union,Lake Union,news
KOMO Communities - U-District,komo-university-district,http://www.komonews.com/communities/udistrict,http://www.komonews.com/communities/udistrict/index.rss,University District,Northeast,news
